p(A){443@cladeB}	1.153260e-12	1.579673e-22	1.461382e-29	1.261216e-12	3.950335e-20	2.314198e+02	2.932495e+03	1.011728e+00
p(C){443@cladeB}	1.118885e-10	1.222354e-19	1.208085e-16	4.614686e-10	2.277296e-11	1.078562e+03	1.234729e+03	1.000494e+00
p(G){443@cladeB}	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00NANANA
p(T){443@cladeB}	2.398129e-12	2.103173e-22	7.923411e-25	8.604392e-12	5.118599e-14	2.089045e+02	4.401580e+02	1.000694e+00
p(A){443@cladeB_anc}	3.296880e-11	4.155558e-19	1.273047e-26	3.809672e-11	1.165926e-18	6.975770e+02	3.674793e+03	1.003764e+00
p(C){443@cladeB_anc}	2.224609e-09	3.651117e-17	8.735788e-14	8.851065e-09	6.113169e-10	8.009607e+02	1.212653e+03	1.000744e+00
p(G){443@cladeB_anc}	1.000000e+00	3.921513e-17	1.000000e+00	1.000000e+00	1.000000e+00	3.438466e+03	4.209354e+03	1.000140e+00
p(T){443@cladeB_anc}	5.023903e-11	7.807579e-20	1.582193e-22	1.960611e-10	1.476932e-12	1.418518e+02	3.221607e+02	1.001791e+00
p(A){443@cladeE}	2.420170e-09	3.977531e-16	3.584837e-24	5.717804e-09	1.060333e-16	7.054998e+01	2.384552e+03	1.020141e+00
p(C){443@cladeE}	9.995775e-01	8.217039e-07	9.986553e-01	9.999999e-01	9.997631e-01	1.070965e+03	1.446930e+03	1.000218e+00
p(G){443@cladeE}	4.225239e-04	8.217011e-07	5.361231e-08	1.344446e-03	2.370174e-04	1.070897e+03	1.446897e+03	1.000217e+00
p(T){443@cladeE}	1.212766e-08	1.771594e-15	1.266979e-18	5.269204e-08	1.711549e-09	1.355468e+02	4.249252e+02	9.999589e-01
p(A){443@cladeE_anc}	6.615217e-11	5.396266e-19	4.208293e-25	1.250005e-10	2.972494e-18	1.593408e+02	3.298148e+03	1.011417e+00
p(C){443@cladeE_anc}	2.954739e-06	6.939090e-11	3.718137e-10	1.087410e-05	1.141450e-06	9.350365e+02	1.152888e+03	1.000864e+00
p(G){443@cladeE_anc}	9.999970e-01	6.937973e-11	9.999892e-01	1.000000e+00	9.999989e-01	9.349020e+02	1.153806e+03	1.000860e+00
p(T){443@cladeE_anc}	1.907195e-10	1.129936e-18	7.153719e-21	7.522686e-10	1.103432e-11	2.147233e+02	6.639808e+02	1.000350e+00
p(A){443@mrca_cladeAE}	7.895252e-11	9.065742e-19	2.806028e-26	1.169422e-10	3.850433e-18	2.773897e+02	2.892826e+03	1.009734e+00
p(C){443@mrca_cladeAE}	7.031341e-09	3.366802e-16	1.367302e-13	2.810872e-08	2.050210e-09	7.288898e+02	9.279599e+02	1.001949e+00
p(G){443@mrca_cladeAE}	1.000000e+00	4.429797e-16	1.000000e+00	1.000000e+00	1.000000e+00	1.463603e+03	2.301111e+03	1.001471e+00
p(T){443@mrca_cladeAE}	1.438542e-10	4.626743e-19	3.433513e-22	6.490845e-10	4.831021e-12	1.500443e+02	2.771128e+02	1.002668e+00
p(A){443@cladeA}	3.740405e-11	2.085381e-19	1.886435e-26	6.254762e-11	1.808752e-18	2.313087e+02	2.539517e+03	1.009684e+00
p(C){443@cladeA}	3.219025e-09	8.644856e-17	1.459255e-13	1.291921e-08	9.637811e-10	7.809372e+02	1.115567e+03	1.002489e+00
p(G){443@cladeA}	1.000000e+00	1.047689e-16	1.000000e+00	1.000000e+00	1.000000e+00	2.297505e+03	3.279787e+03	1.001249e+00
p(T){443@cladeA}	7.283691e-11	1.220741e-19	1.495092e-22	3.112892e-10	2.379807e-12	1.013495e+02	2.284435e+02	1.002272e+00
p(A){443@root}	4.482236e-11	4.926506e-19	4.435758e-26	4.574392e-11	1.354578e-18	4.444866e+02	3.694431e+03	1.005929e+00
p(C){443@root}	3.456230e-09	1.196269e-16	3.739906e-14	1.453737e-08	7.302806e-10	9.717017e+02	1.371715e+03	1.000487e+00
p(G){443@root}	1.000000e+00	1.557856e-16	1.000000e+00	1.000000e+00	1.000000e+00	2.770544e+03	3.001818e+03	1.000205e+00
p(T){443@root}	6.946347e-11	1.954751e-19	1.149574e-22	2.700000e-10	1.846133e-12	2.582092e+02	5.636782e+02	1.001909e+00
